iter	Passed	Remaining
0	1	148
1	3	157
2	4	154
3	6	144
4	7	145
5	9	144
6	13	178
7	14	167
8	15	156
9	16	152
10	17	143
11	19	141
12	20	139
13	22	137
14	23	135
15	25	133
16	26	130
17	27	126
18	29	124
19	30	122
20	31	120
21	33	117
22	34	116
23	35	113
24	37	111
25	38	109
26	39	107
27	40	104
28	41	102
29	43	100
30	44	98
31	44	95
32	45	93
33	46	90
34	47	88
35	48	85
36	48	83
37	49	80
38	50	78
39	51	76
40	52	75
41	52	72
42	53	70
43	54	69
44	54	67
45	55	65
46	56	63
47	57	62
48	58	60
49	58	58
50	59	57
51	60	56
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	68	44
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	74	36
67	75	35
68	75	34
69	76	32
70	77	31
71	77	30
72	78	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	82	22
79	83	20
80	84	19
81	85	18
82	86	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	91	10
90	92	9
91	92	8
92	93	7
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	97	0
